msms_score	matched_peaks	feature_id	short_inchikey	smiles	molecular_formula	exact_mass
0.2173452426343374	10	1148	AOOCSKCGZYCEJX	O=c1cccc2n1CC1CC2CN2CCC(O)CC12	C15H20N2O2	260.15247788
0.21961164594112756	9	1186	AJNQUIUDKQWUQR	CC=C(C)C(=O)OC1c2cc(C3=CC(=O)OC(c4ccoc4)C3(C)CCC(=O)O)oc2C(C)C(CC(=O)OC)C1(C)C	C32H38O10	582.246497416
0.4580600702970162	9	1226	ADFFFLHRKUIXAV	CC1=CCC2C(C=CC(C)C2C(O)=C2C(=O)C(Cc3ccc(O)cc3)N=C2O)C1	C24H27NO4	393.194008344
0.9293400318928939	10	1281	ADLBIVFEKWBVKQ	CCCCCCCc1c(C)c(O)cc2c1[nH]c1ccccc12	C20H25NO	295.19361442
0.34504078531367643	13	1283	AFRPVDHJWCJLNM	CCC1NC(CO)C(O)C(O)C1O	C8H17NO4	191.115758024
0.43186492936154414	7	1290	AOMLMYXPXUTBQH	O=C(O)C1=NCC(O)C1	C5H7NO3	129.042593084
0.23332297362310958	7	1322	AKIHYQWCLCDMMI	N=C(N)NCCCCN=C(O)C=Cc1ccc(O)cc1	C14H20N4O2	276.15862588
0.30099227105949955	7	1331	AAKDPDFZMNYDLR	CN1CC(O)C(O)C(O)C1CO	C7H15NO4	177.10010796
0.5995759309654388	17	1353	AEBDOCOLSSICMC	CCCCCCCCCCCCCCCCCC(=O)N1CCCC1	C22H43NO	337.334464996
0.3027484580246021	7	1359	ARBHXJXXVVHMET	N=C(N)NCCCC(=O)C(=O)O	C6H11N3O3	173.080041212
0.8792455077998615	10	1377	AETDFAXPCFASDB	N=C(O)c1csc(-c2ccccc2O)n1	C10H8N2O2S	220.030648496
0.2687343617914236	7	1420	ACHIHHQMGVRBRM	C=C(CC=CC=CCl)CC(OC(=O)C1CCCN1C)C(C)(C)C	C19H30ClNO2	339.19650688
0.26061435128350224	7	1458	AKLQGVMKOBBNLW	CC(O)(CO)c1ccc2c(c1)CCC1C(C)(C(=O)O)CCCC21C	C20H28O4	332.198759376
0.20070300958363876	7	1464	AOHOKILDZZBOHH	COc1c(C)c(O)cc2c1CC=C(c1ccccc1)O2	C17H16O3	268.10994437200003
0.23190998170222968	10	1586	ARURMHBBHGPVCD	CC=CC#CCCC=CC(O)=NCCc1ccccc1	C18H21NO	267.162314292
0.42934425395705733	19	1713	ANLAGVXTPHOKLD	CC(C)CC1N=C(O)C(CO)N=C1O	C9H16N2O3	200.116092372
0.5695497911439843	29	1734	ANMUQNHDGYFRPB	CC(=O)CCC=C(C)CCC=C(C)CCC(O)C(C)(C)O	C18H32O3	296.235144884
0.30099227105949955	7	1738	AAKDPDFZMNYDLR	CN1CC(O)C(O)C(O)C1CO	C7H15NO4	177.10010796
0.3013404823188245	9	1753	AFRPVDHJWCJLNM	CCC1NC(CO)C(O)C(O)C1O	C8H17NO4	191.115758024
0.34504078531367643	13	1848	AFRPVDHJWCJLNM	CCC1NC(CO)C(O)C(O)C1O	C8H17NO4	191.115758024
0.6161232343810414	10	1915	ABVPTCRXZROELO	Cc1ccc2c(c1)C(=O)CC1C(C)(C(=O)O)CCCC21C	C18H22O3	286.156894564
0.29338717437367995	12	1949	AKXLSFLIQODHPG	COc1ccc(CN=C(O)Nc2ccc(OC)cc2OC)c(OC)c1	C18H22N2O5	346.1528718040001
0.5572545036746049	7	1966	ACOOBFFCOFTQCQ	CC1=CC(=O)C23CC4CN(C)CCC4C2C(=O)CC3C1	C17H23NO2	273.172878976
